ProjectBuildingDWID|ProjectID|BuildingID|BoroID|Block|Lot|BIN|HouseNumber|StreetName|TotalBuildingUnits|BaseSquareFootage|Stories
42145|48877|951039|3|04452|0325|300000|697|VANDALIA AVENUE|1|800|2
42146|48877|951041|3|04452|0326|300000|699|VANDALIA AVENUE|1|800|2
42147|48877|951043|3|04452|0327|300000|701|VANDALIA AVENUE|1|800|2
42148|48877|951045|3|04452|0328|300000|703|VANDALIA AVENUE|1|800|2
42149|48877|951047|3|04452|0329|300000|705|VANDALIA AVENUE|1|800|2
42150|48877|951050|3|04452|0331|300000|709|VANDALIA AVENUE|1|800|2
42151|48877|951052|3|04452|0332|300000|711|VANDALIA AVENUE|1|800|2
42152|48877|951054|3|04452|0333|300000|713|VANDALIA AVENUE|1|800|2
42153|48877|951056|3|04452|0334|300000|715|VANDALIA AVENUE|1|800|2
42154|48877|951058|3|04452|0335|300000|717|VANDALIA AVENUE|1|800|2
42155|48877|951060|3|04452|0336|300000|719|VANDALIA AVENUE|1|800|2
42156|48877|951063|3|04452|0337|300000|721|VANDALIA AVENUE|1|800|2
42157|48877|951065|3|04452|0338|300000|723|VANDALIA AVENUE|1|800|2
42852|48877|951455|3|04452|0330|300000|707|VANDALIA AVENUE|1|800|2
42175|48877|951067|3|04452|0339|300000|725|VANDALIA AVENUE|1|800|2
42176|48877|951069|3|04452|0340|300000|727|VANDALIA AVENUE|1|800|2
42177|48877|951071|3|04452|0341|300000|729|VANDALIA AVENUE|1|800|2
42178|48877|951073|3|04452|0342|300000|731|VANDALIA AVENUE|1|800|2
42179|48877|951076|3|04452|0359|300000|733|VANDALIA AVENUE|1|800|2
42180|48877|951079|3|04452|0360|300000|735|VANDALIA AVENUE|1|800|2
42181|48877|951081|3|04452|0361|300000|737|VANDALIA AVENUE|1|800|2
42182|48877|951083|3|04452|0362|300000|739|VANDALIA AVENUE|1|800|2
42183|48877|951085|3|04452|0363|300000|741|VANDALIA AVENUE|1|800|2
42184|48877|951087|3|04452|0364|300000|743|VANDALIA AVENUE|1|800|2
42185|48877|951089|3|04452|0365|300000|745|VANDALIA AVENUE|1|800|2
42186|48877|951091|3|04452|0366|300000|747|VANDALIA AVENUE|1|800|2
42187|48877|951093|3|04452|0367|300000|749|VANDALIA AVENUE|1|800|2
42188|48877|951095|3|04452|0368|300000|751|VANDALIA AVENUE|1|800|2
42189|48877|951097|3|04452|0369|300000|753|VANDALIA AVENUE|1|800|2
42190|48877|951099|3|04452|0370|300000|755|VANDALIA AVENUE|1|800|2
42191|48877|951101|3|04452|0371|300000|757|VANDALIA AVENUE|1|800|2
42192|48877|951103|3|04452|0372|300000|759|VANDALIA AVENUE|1|800|2
42193|48877|951105|3|04452|0373|300000|761|VANDALIA AVENUE|1|800|2
42194|48877|951107|3|04452|0374|300000|763|VANDALIA AVENUE|1|800|2
42557|48877|951318|3|04452|0301|300000|694|EGAN STREET|1|800|2
42558|48877|951319|3|04452|0302|300000|696|EGAN STREET|1|800|2
42559|48877|951320|3|04452|0303|300000|698|EGAN STREET|1|800|2
42560|48877|951321|3|04452|0304|300000|700|EGAN STREET|1|800|2
42561|48877|951322|3|04452|0305|300000|702|EGAN STREET|1|800|2
42562|48877|951323|3|04452|0306|300000|704|EGAN STREET|1|800|2
42563|48877|951324|3|04452|0307|300000|706|EGAN STREET|1|800|2
42564|48877|951325|3|04452|0308|300000|708|EGAN STREET|1|800|2
42565|48877|951326|3|04452|0309|300000|710|EGAN STREET|1|800|2
42566|48877|951327|3|04452|0310|300000|712|EGAN STREET|1|800|2
42567|48877|951328|3|04452|0311|300000|714|EGAN STREET|1|800|2
42568|48877|951329|3|04452|0312|300000|716|EGAN STREET|1|800|2
42569|48877|951330|3|04452|0313|300000|718|EGAN STREET|1|800|2
42570|48877|951331|3|04452|0314|300000|720|EGAN STREET|1|800|2
42571|48877|951332|3|04452|0315|300000|722|EGAN STREET|1|800|2
42572|48877|951333|3|04452|0316|300000|724|EGAN STREET|1|800|2
42573|48877|951334|3|04452|0317|300000|726|EGAN STREET|1|800|2
42574|48877|951335|3|04452|0318|300000|728|EGAN STREET|1|800|2
42575|48877|951336|3|04452|0319|300000|730|EGAN STREET|1|800|2
42576|48877|951337|3|04452|0320|300000|732|EGAN STREET|1|800|2
42577|48877|951338|3|04452|0321|300000|734|EGAN STREET|1|800|2
42578|48877|951339|3|04452|0322|300000|736|EGAN STREET|1|800|2
42580|48877|951387|3|04452|0343|300000|738|EGAN STREET|1|800|2
42581|48877|951388|3|04452|0344|300000|740|EGAN STREET|1|800|2
42582|48877|951389|3|04452|0345|300000|742|EGAN STREET|1|800|2
42583|48877|951390|3|04452|0346|300000|744|EGAN STREET|1|800|2
42584|48877|951391|3|04452|0347|300000|746|EGAN STREET|1|800|2
42585|48877|951392|3|04452|0348|300000|748|EGAN STREET|1|800|2
42586|48877|951393|3|04452|0349|300000|750|EGAN STREET|1|800|2
42587|48877|951394|3|04452|0350|300000|752|EGAN STREET|1|800|2
42588|48877|951395|3|04452|0351|300000|754|EGAN STREET|1|800|2
42589|48877|951396|3|04452|0352|300000|756|EGAN STREET|1|800|2
42590|48877|951397|3|04452|0353|300000|758|EGAN STREET|1|800|2
42591|48877|951398|3|04452|0354|300000|760|EGAN STREET|1|800|2
42592|48877|951399|3|04452|0355|300000|762|EGAN STREET|1|800|2
42593|48877|951400|3|04452|0356|300000|764|EGAN STREET|1|800|2
42594|48877|951401|3|04452|0358|300000|768|EGAN STREET|1|800|2
40496|48518|677046|4|10408|0024|4221498|186-07|MANGIN AVENUE|1|900|3
40452|48530|48075|2|04604|0022|2056384|794|BARTHOLDI STREET|1|540|2
40732|44998|939498|2|02931|0084|200000|1331|FRANKLIN AVENUE|99||5
39827|45676|933473|2|02934|0020|200000|1346|CLINTON AVENUE|80|5703|7
40372|48356|65052|2|02480|0001|2101464|50|EAST 168 STREET|132||
40748|48287|88571|2|02636|0039|2004534|749|JACKSON AVENUE|10||5
40749|48287|58960|2|02411|0045|2001877|623|COURTLANDT AVENUE|24||5
40750|48287|62854|2|02551|0045|2003630|647|EAST 138 STREET|12||6
40751|48287|60307|2|02554|0044|2003661|353|CYPRESS AVENUE|36||5
40752|48287|110175|2|02603|0020|2004126|582|SOUTHERN BOULEVARD|35||6
40753|48287|110176|2|02603|0022|2004127|586|SOUTHERN BOULEVARD|35||5
40754|48287|63194|2|02568|0060|2003819|700|EAST 141 STREET|28||6
40755|48287|91427|2|02684|0076|2005101|990|LEGGETT AVENUE|30||6
40756|48287|62858|2|02566|0005|2003790|678|EAST 138 STREET|11||6
40757|48287|88572|2|02636|0038|2004533|751|JACKSON AVENUE|10||5
39897|45998|927801|3|01520|0041|300000|106|HOPKINSON AVENUE|4||
39898|45998|935364|3|01520|0069|300000|237|SUMPTER STREET|4||
39899|45998|927802|3|01533|0035|300000|220|MAC DOUGAL STREET|4||
39900|45998|935365|3|01537|0001|300000|2019|FULTON STREET|4||
39901|45998|927809|3|01647|0019|300000|728|MADISON STREET|4||
39902|45998|927806|3|01708|0037|300000|766|HERKIMER STREET|3||
39903|45998|927808|3|04234|0023|300000|516|CRESCENT STREET|3||5
41423|47769|313534|3|02425|0004|3063204|370|HOOPER STREET|6|1560|6
40315|47825|65034|2|02466|0044|2002864|125|EAST 168 STREET|45||5
41906|44255|18777|1|01649|0009|1052383|213|EAST 99 STREET|90||
39910|45781|935972|1|01600|0020|100000|1|WEST 116 STREET|111|5000|9
39918|45001|937075|2|05039|0007|200000|4339|WHITE PLAINS ROAD|61||7
39795|45317|932127|2|03058|0041|200000|499|EAST 188 STREET|40||9
41957|49940|497296|4|09683|0033|4206890|139-07|89 AVENUE|2||2
22171|45820|11411|1|00378|0010|1004530|712|EAST 9 STREET|45|10000|5
41367|48899|4623|1|00747|0001|1078541|212|9 AVENUE|186|71700|21
41368|48899|31596|1|00748|0001|1083596|311|WEST 24 STREET|378|206175|21
41369|48899|805574|1|00748|0001|1083598|341|WEST 24 STREET|378|206175|21
41370|48899|4360|1|00749|0024|1083599|315|8 AVENUE|186|59250|21
41371|48899|4636|1|00751|0001|1082794|270|9 AVENUE|378|393100|21
41372|48899|803934|1|00751|0001|1082793|345|8 AVENUE|378|393100|21
41373|48899|805584|1|00751|0001|1082796|330|WEST 28 STREET|378|393100|21
41374|48899|4371|1|00752|0001|1083604|363|8 AVENUE|186|84550|21
41375|48899|805585|1|00752|0001|1083605|365|WEST 28 STREET|186|84550|21
41376|48899|4633|1|00749|0001|1013458|365|WEST 25 STREET|186|49375|21
12984|43190|227583|3|04118|0029|3091672|116|CRESCENT STREET|5|4125|3
15067|43190|227585|3|04118|0032|3091674|122|CRESCENT STREET|12|12375|3
26192|43190|316390|3|04101|0014|3090758|656|JAMAICA AVENUE|5|5249|3
34633|43190|317934|3|03950|0039|3087864|188|JEROME STREET|5|5200|4
42439|128|47173|2|04428|0021|2051290|2540|BARKER AVENUE|116|11430|7
42440|132|50475|2|02940|0065|2009883|1695|BOSTON ROAD|142|17200|6
42441|132|50477|2|02940|0058|2009882|1719|BOSTON ROAD||17200|6
42442|133|785118|5|02893|0001|5043578|195|STEUBEN STREET|198|14258|6
42443|133|785126|5|02894|0001|5043579|231|STEUBEN STREET||14258|6
7527|39397|807660|3|07447|0028|3320930|2965|AVENUE Z|135||21
23005|39397|807687|3|07447|0028|3320929|2560|BATCHELDER STREET|135||8
24318|39397|199381|3|07447|0028|3320931|2520|BATCHELDER STREET|135||8
36298|39397|807686|3|07447|0028|3320928|2540|BATCHELDER STREET|135||8
41078|48002|396200|3|03211|0017|3072995|1344|WILLOUGHBY AVENUE|3|1478|3
41079|48002|340299|3|03012|0008|3070725|26|MORGAN AVENUE|5|1494|3
41080|48002|230079|3|03248|0011|3073908|1560|DE KALB AVENUE|5|1615|3
