ProjectBuildingDWID,ProjectID,BuildingID,BoroID,Block,Lot,BIN,HouseNumber,StreetName,TotalBuildingUnits,BaseSquareFootage,Stories,Lat,Lon
40308,47882,65630,2,02996,0023,2010790,960,EAST 173 STREET,12,,5,40.834863,-73.886746
40309,47882,118489,2,02996,0018,2010787,1562,VYSE AVENUE,21,,5,40.834535,-73.886947
40330,47882,53737,2,02997,0042,2010804,1675,BRYANT AVENUE,42,,5,40.835338,-73.8860739
39355,44373,927009,1,02069,0021,100000,414,WEST 155 STREET,124,,13,40.830349,-73.940971
40664,45961,938859,1,00701,0043,100000,502,WEST 30 STREET,386,,5,40.752123,-74.001703
40724,48086,939397,4,09681,0091,400000,148-19,90 AVENUE,65,8982,9,40.703668,-73.806528
40641,47831,5611,1,02073,0033,1061797,1648,AMSTERDAM AVENUE,8,2500,5,40.823166,-73.949519
40642,47831,5613,1,02073,0035,1061799,1652,AMSTERDAM AVENUE,8,2500,5,40.8231612,-73.9493349
40644,47831,41631,1,02073,0037,1061801,502,WEST 142 STREET,8,1401,3,40.8233279,-73.9492623
40694,47831,5614,1,02073,0036,1061800,500,WEST 142 STREET,8,2060,5,40.8233907,-73.9494357
40695,47831,5618,1,02058,0058,1061258,476,WEST 143 STREET,12,2998,5,40.8238587,-73.948362
40796,48390,224175,3,00319,0019,3003573,151,COLUMBIA STREET,4,,4,40.686639,-74.001617
40797,48390,224168,3,00319,0025,3003578,143,COLUMBIA STREET,7,,4,40.6868787,-74.0014688
40798,48390,224181,3,00319,0015,3003569,159,COLUMBIA STREET,4,,4,40.68645,-74.001707
40799,48390,224220,3,00330,0003,3004076,201,COLUMBIA STREET,2,,3,40.685172,-74.002324
40800,48390,224173,3,00319,0020,3003574,149,COLUMBIA STREET,8,,4,40.686706,-74.001629
40285,48390,224188,3,00319,0011,3003565,165,COLUMBIA STREET,3,,3,40.686248,-74.001803
40765,48060,396401,3,01760,0069,3048876,609,WILLOUGHBY AVENUE,9,,4,40.694576,-73.945055
40766,48060,396399,3,01760,0070,3048877,607,WILLOUGHBY AVENUE,9,,5,40.694565,-73.9451519
40768,48060,387005,3,01760,0016,3048833,162,VERNON AVENUE,4,,3,40.694815,-73.945398
40769,48060,396432,3,01760,0053,3048860,639,WILLOUGHBY AVENUE,4,,4,40.694712,-73.943879
40770,48060,396403,3,01760,0068,3048875,611,WILLOUGHBY AVENUE,9,,4,40.694587,-73.94496
40775,48060,381509,3,01767,0038,3049131,150,TOMPKINS AVENUE,20,,5,40.693956,-73.946337
40624,47798,22711,1,00286,0006,1003709,219,HENRY STREET,23,,6,40.713879,-73.98657
40445,48521,42593,1,02099,0011,1062464,631,WEST 152 STREET,50,,6,40.831763,-73.94882
40453,48532,314148,3,01467,0001,3324684,495,HOWARD AVENUE,32,,4,40.6712739,-73.919183
40454,48532,334829,3,01497,0062,3040182,671,MAC DONOUGH STREET,8,,4,40.6838358,-73.9192571
40455,48532,218996,3,01514,0016,3041043,350,CHAUNCEY STREET,8,,4,40.6815144,-73.9183034
40456,48532,314056,3,01519,0007,3041222,217,HOWARD AVENUE,8,,4,40.6806717,-73.919538
40457,48532,330074,3,01666,0056,3046525,539,MACON STREET,8,,4,40.683521,-73.93014
40458,48532,338749,3,01987,0018,3057063,18,MONROE STREET,8,,4,40.6845647,-73.9583449
40459,48532,321730,3,01606,0021,3043402,466,KOSCIUSZKO STREET,8,,4,40.692208,-73.9354
40460,48532,295766,3,01973,0041,3056546,372,FRANKLIN AVENUE,8,,4,40.6862142,-73.9567166
40461,48532,317655,3,01486,0057,3039835,967,JEFFERSON AVENUE,8,,4,40.686957,-73.9199919
40462,48532,357588,3,01770,0072,3049296,47,PULASKI STREET,8,,4,40.692519,-73.949906
40463,48532,354897,3,03694,0024,3083617,80,POWELL STREET,8,,4,40.672629,-73.904991
40464,48532,207338,3,03743,0016,3084011,108,BELMONT AVENUE,8,,5,40.66881,-73.9061849
40465,48532,357943,3,01990,0058,3057230,161,PUTNAM AVENUE,8,,4,40.683598,-73.9555929
40466,48532,331346,3,01988,0047,3057148,99,MADISON STREET,8,,4,40.6841946,-73.9552583
40467,48532,308808,3,01767,0068,3049144,89,HART STREET,8,,4,40.6932705,-73.9479843
40468,48532,222613,3,01788,0067,3049904,283,CLIFTON PLACE,8,,4,40.689045,-73.9521378
40469,48532,809139,3,01467,0001,3324685,1756,PARK PLACE,24,,4,40.6716984,-73.9191394
40470,48532,809566,3,01467,0001,3324686,1785,STERLING PLACE,16,,4,40.6708573,-73.9194902
40497,48532,808474,3,01491,0012,3332543,894,HANCOCK STREET,8,,4,40.6860213,-73.9196116
40498,48532,335134,3,01531,0006,3041584,62,MAC DOUGAL STREET,8,,4,40.679179,-73.918624
41800,48532,333160,3,01521,0009,3041307,392,MARION STREET,8,,4,40.6812309,-73.913551
41049,48890,59889,2,03083,0068,2012405,2129,CROTONA AVENUE,45,39465,5,40.849218,-73.888344
41799,49628,20629,1,01775,0006,1054496,107,EAST 126 STREET,255,23797,11,40.8054151,-73.9374303
41789,49569,20765,1,01775,0165,1054499,112,EAST 128 STREET,157,15687,12,40.8062978,-73.9365484
40918,48686,32921,1,01033,0006,1024937,351,WEST 42 STREET,308,8045,21,40.758391,-73.991792
41142,49103,59514,2,02872,0312,2008717,1479,CROMWELL AVENUE,72,13320,6,40.842878,-73.918583
40806,48754,865282,1,02026,0033,1085368,202,WEST 141 STREET,69,,,40.819113,-73.941575
41067,48896,216940,3,02044,0013,3257033,101,CARLTON AVENUE,135,51000,5,40.6947104,-73.9731554
40905,48766,118500,2,02997,0013,2010801,1690,VYSE AVENUE,37,6995,6,40.835951,-73.886113
40906,48766,89105,2,02872,0252,2008697,1604,JESUP AVENUE,29,4688,6,40.846079,-73.917879
40907,48766,93706,2,02872,0365,2008721,1601,MACOMBS ROAD,53,9282,6,40.8460586,-73.9172477
40908,48766,109403,2,02873,0103,2008741,1551,SHAKESPEARE AVENUE,72,12958,6,40.8458751,-73.9193541
40909,48766,65697,2,02997,0026,2010803,978,EAST 174 STREET,38,7441,6,40.8364715,-73.885093
40910,48766,118495,2,02997,0005,2010799,1668,VYSE AVENUE,37,6989,6,40.835451,-73.886403
40911,48766,118502,2,02997,0017,2010802,1698,VYSE AVENUE,37,7001,6,40.836201,-73.885968
40912,48766,85558,2,02983,0038,2010611,1685,HOE AVENUE,37,7122,6,40.83618,-73.887644
40913,48766,118497,2,02997,0009,2010800,1680,VYSE AVENUE,37,6977,6,40.835699,-73.886259
40914,48766,118493,2,02997,0001,2010798,1662,VYSE AVENUE,37,7384,6,40.8352,-73.886549
41053,48889,809794,3,07268,0001,3320752,2954,WEST 8 STREET,318,10164,20,40.5764249,-73.9766234
41054,48889,809804,3,07268,0001,3320753,2879,WEST 12 STREET,312,10164,20,40.5779991,-73.979571
41055,48889,342209,3,07268,0001,3320750,828,NEPTUNE AVENUE,318,10164,20,40.5796663,-73.9774923
41057,48889,809803,3,07268,0001,3320749,2823,WEST 12 STREET,314,10164,20,40.5790251,-73.9795989
41058,48889,809793,3,07268,0001,3320751,2892,WEST 8 STREET,314,10164,20,40.5792745,-73.9763458
41356,48660,74399,2,02909,0012,2009533,440,EAST TREMONT AVENUE,9,2880,4,40.847072,-73.899215
41357,48660,65832,2,02908,0015,2009523,442,EAST 176 STREET,24,3920,4,40.846102,-73.899798
41358,48660,48245,2,03044,0029,2011442,1991,BATHGATE AVENUE,15,3075,5,40.8490309,-73.896231
41359,48660,65833,2,02908,0017,2009524,446,EAST 176 STREET,24,3920,4,40.84605,-73.899641
41360,48660,119798,2,03046,0003,2011471,2028,WASHINGTON AVENUE,34,5925,6,40.849885,-73.896117
41355,48660,119759,2,02917,0006,2009562,1824,WASHINGTON AVENUE,8,2403,4,40.844992,-73.898826
41116,48625,362389,3,01368,0001,3036296,191,ROCHESTER AVENUE,19,3790,4,40.6723578,-73.9278849
41117,48625,339245,3,01638,0078,3044756,759,MONROE STREET,8,1733,4,,
41118,48625,338754,3,01817,0036,3051316,184,MONROE STREET,20,3015,4,40.6851522,-73.9518979
41119,48625,232147,3,01504,0014,3040499,518,DECATUR STREET,4,731,3,40.682524,-73.921846
41120,48625,849296,3,01381,0036,,1682-1700,STERLING PLACE,32,6641,4,40.6709941,-73.9224371
40561,48632,5374,1,02218,0042,1064729,541,ACADEMY STREET,24,3500,5,40.862707,-73.922313
40563,48632,5376,1,02218,0044,1064730,545,ACADEMY STREET,25,4000,5,40.862799,-73.922371
40564,48632,5379,1,02218,0048,1064732,553,ACADEMY STREET,25,4000,5,40.862994,-73.922495
40565,48632,5381,1,02218,0054,1064733,565,ACADEMY STREET,26,4000,5,40.86329,-73.922681
41232,47883,321688,3,01601,0050,3043222,409,KOSCIUSZKO STREET,3,,4,40.692343,-73.938311
41233,47883,321682,3,01601,0053,3043224,403,KOSCIUSZKO STREET,13,,4,40.692314,-73.938568
41234,47883,306149,3,01663,0086,3046345,675,HALSEY STREET,6,,3,40.684811,-73.925595
41235,47883,306147,3,01663,0088,3046347,671,HALSEY STREET,6,,,40.684789,-73.925789
41236,47883,321678,3,01601,0055,3043225,399,KOSCIUSZKO STREET,12,,3,40.692298,-73.9387069
39685,44350,928130,2,02867,0125,200000,92,WEST TREMONT AVENUE,61,11311,7,40.850079,-73.912497
40566,48634,5380,1,02218,0050,1084223,557,ACADEMY STREET,26,3440,5,40.863142,-73.922588
40567,48634,803993,1,02218,0050,1080035,561,ACADEMY STREET,25,3440,5,40.8631197,-73.9228997
40955,48897,8023,1,02087,0031,1062299,3405,BROADWAY,16,16020,6,40.822394,-73.953906
